Package,Server_snapshot_version
AnnotationDbi,1.66.0
car,3.1-3
CellChat,2.1.2
cluster,2.1.6
clusterProfiler,4.12.6
ConsensusClusterPlus,1.68.0
dplyr,1.1.4
edgeR,4.4.1
estimate,1.0.13
fgsea,1.30.0
future,1.30.0
ggplot2,3.5.1
GO.db,3.19.1
grDevices,4.4.1
gridExtra,2.3
GSVA,1.52.3
limma,3.62.1
lmtest,0.9-40
logistf,1.26.0
MASS,7.3-60.2
Matrix,1.6-5
mclust,6.1.1
MCPcounter,1.2.0
org.Hs.eg.db,3.19.1
patchwork,1.3.0
pbapply,1.7-2
princurve,2.1.6
pROC,1.18.5
qs,0.27.2
ragg,1.3.3
Rcpp,1.0.13-1
readxl,1.4.5
sandwich,3.1-1
Seurat,5.1.0
SeuratObject,5.0.2
stats,4.4.1
svglite,2.1.3
