"SampleID","top_label","delta","ambiguous","assignment","Dataset"
"GSM973630","C3_Immune",0.154768655153032,FALSE,"C3_Immune","GSE39645"
"GSM973631","C3_Immune",0.98486587230374,FALSE,"C3_Immune","GSE39645"
"GSM973632","C2_Mesenchymal",0.115041739495767,FALSE,"C2_Mesenchymal","GSE39645"
"GSM973633","C2_Mesenchymal",0.088542125492546,TRUE,"Ambiguous","GSE39645"
"GSM973634","C3_Immune",0.435155117252263,FALSE,"C3_Immune","GSE39645"
"GSM973635","C3_Immune",0.43369675765176,FALSE,"C3_Immune","GSE39645"
"GSM973636","C1_Proliferative",0.646042327229448,FALSE,"C1_Proliferative","GSE39645"
"GSM973637","C1_Proliferative",0.396179993065277,FALSE,"C1_Proliferative","GSE39645"
"GSM973638","C2_Mesenchymal",0.537212686268915,FALSE,"C2_Mesenchymal","GSE39645"
"GSM973639","C1_Proliferative",0.334588917934727,FALSE,"C1_Proliferative","GSE39645"
"GSM973640","C1_Proliferative",0.535003358887903,FALSE,"C1_Proliferative","GSE39645"
"GSM973641","C2_Mesenchymal",0.940933380412064,FALSE,"C2_Mesenchymal","GSE39645"
"GSM973642","C3_Immune",0.743439215259405,FALSE,"C3_Immune","GSE39645"
"GSM973643","C1_Proliferative",1.1071292535241,FALSE,"C1_Proliferative","GSE39645"
"GSM973644","C3_Immune",0.867832423279121,FALSE,"C3_Immune","GSE39645"
"GSM973645","C1_Proliferative",0.420444928971146,FALSE,"C1_Proliferative","GSE39645"
"GSM973646","C2_Mesenchymal",0.274527667800905,FALSE,"C2_Mesenchymal","GSE39645"
"GSM973647","C3_Immune",0.217189536023273,FALSE,"C3_Immune","GSE39645"
"GSM973648","C3_Immune",0.798035146321698,FALSE,"C3_Immune","GSE39645"
"GSM973649","C3_Immune",1.18369024728674,FALSE,"C3_Immune","GSE39645"
"GSM973650","C1_Proliferative",0.37949604046916,FALSE,"C1_Proliferative","GSE39645"
"GSM973651","C2_Mesenchymal",0.173821070052406,FALSE,"C2_Mesenchymal","GSE39645"
"GSM973652","C2_Mesenchymal",0.305500446851845,FALSE,"C2_Mesenchymal","GSE39645"
"GSM973653","C3_Immune",0.421436087490004,FALSE,"C3_Immune","GSE39645"
"GSM973654","C3_Immune",2.13556294658485,FALSE,"C3_Immune","GSE39645"
"GSM973655","C1_Proliferative",0.510935499652489,FALSE,"C1_Proliferative","GSE39645"
"GSM973656","C1_Proliferative",1.13520609692894,FALSE,"C1_Proliferative","GSE39645"
"GSM973657","C2_Mesenchymal",0.307465848691654,FALSE,"C2_Mesenchymal","GSE39645"
"GSM973658","C3_Immune",0.397082911730582,FALSE,"C3_Immune","GSE39645"
"GSM973659","C2_Mesenchymal",0.187568967515263,FALSE,"C2_Mesenchymal","GSE39645"
"GSM973660","C1_Proliferative",0.00271878516702703,TRUE,"Ambiguous","GSE39645"
