"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"NKC","BC","TGFB1","TGFbR1_R2",0.0145015672232471,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"BC","C3high_Myeloid","TGFB1","TGFbR1_R2",0.0153102547347216,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"C3high_Myeloid","C3high_Myeloid","TGFB1","TGFbR1_R2",0.0127360836870636,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"C3low_Myeloid","C3high_Myeloid","TGFB1","TGFbR1_R2",0.0107338611616419,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Cycling","C3high_Myeloid","TGFB1","TGFbR1_R2",0.0122602679839644,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"NKC","C3high_Myeloid","TGFB1","TGFbR1_R2",0.0245873745484387,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"TC","C3high_Myeloid","TGFB1","TGFbR1_R2",0.0166730893239391,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"NKC","C3low_Myeloid","TGFB1","TGFbR1_R2",0.0172255686975483,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"TC","C3low_Myeloid","TGFB1","TGFbR1_R2",0.0116516519511965,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"NKC","Cycling","TGFB1","TGFbR1_R2",0.0160303798801425,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"TC","Cycling","TGFB1","TGFbR1_R2",0.0108396096321127,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"BC","Endothelial","TGFB1","TGFbR1_R2",0.0111710299370794,0.02,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"NKC","Endothelial","TGFB1","TGFbR1_R2",0.0179817241110128,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"TC","Endothelial","TGFB1","TGFbR1_R2",0.0121695596063667,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"NKC","nmSC","TGFB1","TGFbR1_R2",0.0162315391909692,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"TC","nmSC","TGFB1","TGFbR1_R2",0.0109673603301592,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Fibroblast","BC","TGFB2","TGFbR1_R2",9.69089962127103e-05,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
