"pathway","source","target","sum_probability"
"ADGRE","myeSC","C3high_Myeloid",0.0109084671445991
"ADGRG","myeSC","C3high_Myeloid",0.0070513559570157
"ANGPTL","myeSC","C3high_Myeloid",0.00024113396589238
"ANNEXIN","myeSC","C3high_Myeloid",0.0432231283731121
"APP","myeSC","C3high_Myeloid",0.394610469259764
"CADM","myeSC","C3high_Myeloid",0.0172227301207657
"CD45","myeSC","C3high_Myeloid",5.50877478726189e-07
"CD99","myeSC","C3high_Myeloid",0.0356690185236646
"CHEMERIN","myeSC","C3high_Myeloid",0.000173543233878406
"COLLAGEN","myeSC","C3high_Myeloid",0.0442600781996802
"CSF","myeSC","C3high_Myeloid",0.0491531823594638
"FN1","myeSC","C3high_Myeloid",0.0198006830941765
"GDF","myeSC","C3high_Myeloid",0.0199670341487056
"IL16","myeSC","C3high_Myeloid",0.0133503261501625
"JAM","myeSC","C3high_Myeloid",0.00728321939311323
"LAMININ","myeSC","C3high_Myeloid",0.0977813346758473
"MIF","myeSC","C3high_Myeloid",0.289392678401247
"MK","myeSC","C3high_Myeloid",0.0393188232917553
"MPZ","myeSC","C3high_Myeloid",0.022060408283528
"NRXN","myeSC","C3high_Myeloid",0.000480901826395291
"PROS","myeSC","C3high_Myeloid",0.0466008977183621
"PTN","myeSC","C3high_Myeloid",0.000191813935842934
"SEMA4","myeSC","C3high_Myeloid",0.00175515277967062
"SEMA7","myeSC","C3high_Myeloid",0.00019600007268225
"THBS","myeSC","C3high_Myeloid",0.004535932989857
"THY1","myeSC","C3high_Myeloid",0.0134480344375299
"UNC5","myeSC","C3high_Myeloid",0.000589051840472995
"VEGF","myeSC","C3high_Myeloid",0.000448946685671831
"ADGRE","nmSC","C3high_Myeloid",0.0126436342306124
"ADGRG","nmSC","C3high_Myeloid",0.0100970451714809
"ANGPTL","nmSC","C3high_Myeloid",0.000745134830192747
"ANNEXIN","nmSC","C3high_Myeloid",0.0841740255914329
"APP","nmSC","C3high_Myeloid",0.385675974084454
