"group","outgoing","incoming","total"
"nmSC",23.0855097325326,18.5506612197507,41.6361709522833
"PC_VSMC",26.3363251995854,14.9185892761018,41.2549144756872
"Endothelial",19.8019967199039,18.3170672054109,38.1190639253148
"Fibroblast",28.1288271805408,8.32465723650778,36.4534844170486
"myeSC",17.5012727561639,16.357640066447,33.8589128226108
"C3high_Myeloid",8.65812458242689,12.4039881832337,21.0621127656606
"TC",4.37439379003219,14.8651042295203,19.2394980195525
"Cycling",7.76428646409574,11.2237487664606,18.9880352305563
"Mucosa",8.72862194858726,7.91503820480255,16.6436601533898
"C3low_Myeloid",5.70198296266472,10.883727716445,16.5857106791097
"NKC",4.39137403610397,12.1764353313562,16.5678093674601
"BC",3.3683136380707,7.36927578255213,10.7375894206228
"Mast",3.08033049200396,7.61542628412327,10.6957567761272
