"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"myeSC","C3high_Myeloid","GDF15","TGFBR2",0.0199670341487056,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"myeSC","C3low_Myeloid","GDF15","TGFBR2",0.0144601802049965,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"C3high_Myeloid","myeSC","WNT5A","MCAM",0.00226670483277284,0,"WNT5A_MCAM","WNT5A - MCAM","ncWNT","Secreted Signaling","PMID: 24335906"
"C3low_Myeloid","myeSC","WNT5A","MCAM",0.00156589012662348,0,"WNT5A_MCAM","WNT5A - MCAM","ncWNT","Secreted Signaling","PMID: 24335906"
"C3high_Myeloid","nmSC","WNT5A","MCAM",0.00189946981093723,0,"WNT5A_MCAM","WNT5A - MCAM","ncWNT","Secreted Signaling","PMID: 24335906"
"C3low_Myeloid","nmSC","WNT5A","MCAM",0.00131204669413733,0,"WNT5A_MCAM","WNT5A - MCAM","ncWNT","Secreted Signaling","PMID: 24335906"
"C3high_Myeloid","myeSC","HBEGF","ERBB4",0.00804401254132032,0,"HBEGF_ERBB4","HBEGF - ERBB4","EGF","Secreted Signaling","KEGG: hsa04012"
"C3low_Myeloid","myeSC","HBEGF","ERBB4",0.00827086365031073,0,"HBEGF_ERBB4","HBEGF - ERBB4","EGF","Secreted Signaling","KEGG: hsa04012"
"C3high_Myeloid","myeSC","HBEGF","ERBB2_ERBB4",0.00894815252550776,0,"HBEGF_ERBB2_ERBB4","HBEGF - (ERBB2+ERBB4)","EGF","Secreted Signaling","KEGG: hsa04012"
"C3low_Myeloid","myeSC","HBEGF","ERBB2_ERBB4",0.00920026501156873,0,"HBEGF_ERBB2_ERBB4","HBEGF - (ERBB2+ERBB4)","EGF","Secreted Signaling","KEGG: hsa04012"
"C3low_Myeloid","myeSC","EREG","ERBB4",0.00124409903959549,0,"EREG_ERBB4","EREG - ERBB4","EGF","Secreted Signaling","KEGG: hsa04012"
"C3low_Myeloid","myeSC","EREG","ERBB2_ERBB4",0.00138500183213202,0,"EREG_ERBB2_ERBB4","EREG - (ERBB2+ERBB4)","EGF","Secreted Signaling","KEGG: hsa04012"
"C3high_Myeloid","myeSC","PDGFA","PDGFRB",6.87793768634037e-06,0,"PDGFA_PDGFRB","PDGFA - PDGFRB","PDGF","Secreted Signaling","PMID: 15207812"
"C3high_Myeloid","nmSC","PDGFA","PDGFRB",2.52897539590343e-06,0,"PDGFA_PDGFRB","PDGFA - PDGFRB","PDGF","Secreted Signaling","PMID: 15207812"
"C3high_Myeloid","myeSC","PDGFB","PDGFRB",0.00440684648207076,0,"PDGFB_PDGFRB","PDGFB - PDGFRB","PDGF","Secreted Signaling","PMID: 15207812"
"C3low_Myeloid","myeSC","PDGFB","PDGFRB",0.00352473620333019,0,"PDGFB_PDGFRB","PDGFB - PDGFRB","PDGF","Secreted Signaling","PMID: 15207812"
"C3high_Myeloid","nmSC","PDGFB","PDGFRB",0.00162969548213485,0,"PDGFB_PDGFRB","PDGFB - PDGFRB","PDGF","Secreted Signaling","PMID: 15207812"
"C3low_Myeloid","nmSC","PDGFB","PDGFRB",0.00130194556884782,0,"PDGFB_PDGFRB","PDGFB - PDGFRB","PDGF","Secreted Signaling","PMID: 15207812"
"nmSC","C3low_Myeloid","VEGFA","FLT1",0.000350744550016188,0.01,"VEGFA_VEGFR1","VEGFA - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"myeSC","C3high_Myeloid","VEGFB","FLT1",0.000447851694791206,0,"VEGFB_VEGFR1","VEGFB - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"nmSC","C3high_Myeloid","VEGFB","FLT1",0.000677383274271537,0,"VEGFB_VEGFR1","VEGFB - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"myeSC","C3low_Myeloid","VEGFB","FLT1",0.00095925662095645,0,"VEGFB_VEGFR1","VEGFB - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"nmSC","C3low_Myeloid","VEGFB","FLT1",0.00145051153272423,0,"VEGFB_VEGFR1","VEGFB - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"myeSC","C3high_Myeloid","PGF","FLT1",1.09499088062537e-06,0,"PGF_VEGFR1","PGF - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"myeSC","C3low_Myeloid","PGF","FLT1",2.34656613545715e-06,0,"PGF_VEGFR1","PGF - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"C3high_Myeloid","myeSC","IGF1","IGF1R",0.000469984872331233,0,"IGF1_IGF1R","IGF1 - IGF1R","IGF","Secreted Signaling","PMID: 14604834"
