"patient","source","target","pathway","interaction","eligible","expression_support_10pct","ligand_receptor_expression_product"
"SCH1","myeSC","C3high_Myeloid","MIF","MIF_CD74_CXCR4",TRUE,TRUE,28.3742690776873
"SCH2","myeSC","C3high_Myeloid","MIF","MIF_CD74_CXCR4",FALSE,,
"SCH3","myeSC","C3high_Myeloid","MIF","MIF_CD74_CXCR4",FALSE,,
"SCH4","myeSC","C3high_Myeloid","MIF","MIF_CD74_CXCR4",TRUE,TRUE,216.78286179453
"SCH5","myeSC","C3high_Myeloid","MIF","MIF_CD74_CXCR4",FALSE,,
"SCH6","myeSC","C3high_Myeloid","MIF","MIF_CD74_CXCR4",TRUE,TRUE,241.972131087765
"SCH7","myeSC","C3high_Myeloid","MIF","MIF_CD74_CXCR4",FALSE,,
"SCH8","myeSC","C3high_Myeloid","MIF","MIF_CD74_CXCR4",FALSE,,
"SCH9","myeSC","C3high_Myeloid","MIF","MIF_CD74_CXCR4",TRUE,TRUE,194.586226212791
"SCH13","myeSC","C3high_Myeloid","MIF","MIF_CD74_CXCR4",FALSE,,
"SCH14","myeSC","C3high_Myeloid","MIF","MIF_CD74_CXCR4",TRUE,TRUE,248.95607145084
"SCH1","nmSC","C3high_Myeloid","MIF","MIF_CD74_CXCR4",TRUE,TRUE,45.3833921771278
"SCH2","nmSC","C3high_Myeloid","MIF","MIF_CD74_CXCR4",TRUE,TRUE,269.740413930806
"SCH3","nmSC","C3high_Myeloid","MIF","MIF_CD74_CXCR4",TRUE,TRUE,123.581728811922
"SCH4","nmSC","C3high_Myeloid","MIF","MIF_CD74_CXCR4",TRUE,TRUE,293.433854831604
"SCH5","nmSC","C3high_Myeloid","MIF","MIF_CD74_CXCR4",TRUE,TRUE,260.861131595029
"SCH6","nmSC","C3high_Myeloid","MIF","MIF_CD74_CXCR4",TRUE,TRUE,201.264432633243
"SCH7","nmSC","C3high_Myeloid","MIF","MIF_CD74_CXCR4",TRUE,TRUE,168.832258987975
"SCH8","nmSC","C3high_Myeloid","MIF","MIF_CD74_CXCR4",TRUE,TRUE,264.639849619778
"SCH9","nmSC","C3high_Myeloid","MIF","MIF_CD74_CXCR4",TRUE,TRUE,120.538693729278
"SCH13","nmSC","C3high_Myeloid","MIF","MIF_CD74_CXCR4",TRUE,TRUE,115.726602668574
"SCH14","nmSC","C3high_Myeloid","MIF","MIF_CD74_CXCR4",TRUE,TRUE,238.156625879895
