"Var1","Var2","Freq"
"SCH1","BC",4
"SCH13","BC",32
"SCH14","BC",31
"SCH2","BC",33
"SCH3","BC",18
"SCH4","BC",56
"SCH5","BC",15
"SCH6","BC",30
"SCH7","BC",2
"SCH8","BC",20
"SCH9","BC",2
"SCH1","C3high_Myeloid",1443
"SCH13","C3high_Myeloid",7526
"SCH14","C3high_Myeloid",4966
"SCH2","C3high_Myeloid",4664
"SCH3","C3high_Myeloid",868
"SCH4","C3high_Myeloid",10060
"SCH5","C3high_Myeloid",2889
"SCH6","C3high_Myeloid",3837
"SCH7","C3high_Myeloid",3087
"SCH8","C3high_Myeloid",3626
"SCH9","C3high_Myeloid",896
"SCH1","C3low_Myeloid",786
"SCH13","C3low_Myeloid",3946
"SCH14","C3low_Myeloid",599
"SCH2","C3low_Myeloid",615
"SCH3","C3low_Myeloid",344
"SCH4","C3low_Myeloid",1484
"SCH5","C3low_Myeloid",594
"SCH6","C3low_Myeloid",1177
"SCH7","C3low_Myeloid",174
"SCH8","C3low_Myeloid",410
"SCH9","C3low_Myeloid",730
"SCH1","Cycling",34
"SCH13","Cycling",110
"SCH14","Cycling",99
"SCH2","Cycling",155
"SCH3","Cycling",12
"SCH4","Cycling",398
"SCH5","Cycling",86
"SCH6","Cycling",122
"SCH7","Cycling",32
"SCH8","Cycling",81
"SCH9","Cycling",17
"SCH1","Endothelial",68
"SCH13","Endothelial",102
"SCH14","Endothelial",8
"SCH2","Endothelial",25
"SCH3","Endothelial",12
"SCH4","Endothelial",340
"SCH5","Endothelial",85
"SCH6","Endothelial",135
"SCH7","Endothelial",16
"SCH8","Endothelial",87
"SCH9","Endothelial",83
"SCH1","Fibroblast",58
"SCH13","Fibroblast",130
"SCH14","Fibroblast",3
"SCH2","Fibroblast",25
"SCH3","Fibroblast",0
"SCH4","Fibroblast",483
"SCH5","Fibroblast",83
"SCH6","Fibroblast",130
"SCH7","Fibroblast",27
"SCH8","Fibroblast",304
"SCH9","Fibroblast",468
"SCH1","Mast",11
"SCH13","Mast",17
"SCH14","Mast",12
"SCH2","Mast",3
"SCH3","Mast",2
"SCH4","Mast",13
"SCH5","Mast",5
"SCH6","Mast",12
"SCH7","Mast",6
"SCH8","Mast",31
"SCH9","Mast",8
"SCH1","Mucosa",0
"SCH13","Mucosa",0
"SCH14","Mucosa",0
"SCH2","Mucosa",0
"SCH3","Mucosa",0
"SCH4","Mucosa",511
"SCH5","Mucosa",0
"SCH6","Mucosa",0
"SCH7","Mucosa",0
"SCH8","Mucosa",1
"SCH9","Mucosa",0
"SCH1","myeSC",16
"SCH13","myeSC",9
"SCH14","myeSC",20
"SCH2","myeSC",8
"SCH3","myeSC",6
"SCH4","myeSC",41
"SCH5","myeSC",0
"SCH6","myeSC",10
"SCH7","myeSC",6
"SCH8","myeSC",0
"SCH9","myeSC",375
"SCH1","NKC",76
"SCH13","NKC",232
"SCH14","NKC",133
"SCH2","NKC",343
"SCH3","NKC",50
"SCH4","NKC",102
"SCH5","NKC",85
"SCH6","NKC",88
"SCH7","NKC",25
"SCH8","NKC",124
"SCH9","NKC",23
"SCH1","nmSC",1648
"SCH13","nmSC",220
"SCH14","nmSC",68
"SCH2","nmSC",316
"SCH3","nmSC",308
"SCH4","nmSC",676
"SCH5","nmSC",164
"SCH6","nmSC",1539
"SCH7","nmSC",484
"SCH8","nmSC",308
"SCH9","nmSC",1257
"SCH1","PC_VSMC",246
"SCH13","PC_VSMC",17
"SCH14","PC_VSMC",0
"SCH2","PC_VSMC",15
"SCH3","PC_VSMC",2
"SCH4","PC_VSMC",142
"SCH5","PC_VSMC",48
"SCH6","PC_VSMC",119
"SCH7","PC_VSMC",19
"SCH8","PC_VSMC",181
"SCH9","PC_VSMC",100
"SCH1","TC",684
"SCH13","TC",761
"SCH14","TC",332
"SCH2","TC",880
"SCH3","TC",364
"SCH4","TC",296
"SCH5","TC",115
"SCH6","TC",452
"SCH7","TC",378
"SCH8","TC",397
"SCH9","TC",35
