"variable","unit"
"白细胞计数","3.5--9.5×10^9/L"
"红细胞计数","3.8--5.1×10^12/L"
"中性粒细胞%","40--75%"
"血红蛋白量","115--150g/L"
"淋巴细胞%","20--50%"
"红细胞比积","35--45%"
"单核细胞%","3--10%"
"平均红细胞体积","82--100fL"
"嗜酸性粒细胞%","0.4--8.0%"
"平均红细胞血红蛋白含量","27--34pg"
"嗜碱性粒细胞%","0--1%"
"中性粒细胞绝对数","1.8--6.3×10^9/L"
"红细胞体积分布宽度变异系数","11.5--14.5%"
"淋巴细胞绝对数","1.1--3.2×10^9/L"
"血小板计数","125--350×10^9/L"
"单核细胞绝对数","0.1--0.6×10^9/L"
"平均血小板体积","7.5--12.0fL"
"嗜酸性粒细胞绝对数","0.02--0.52×10^9/L"
"嗜碱性粒细胞绝对数","0.00--0.06×10^9/L"
"血小板比积","0.10--0.28%"
"血小板体积分布宽度变异系数","9--17%"
"平均红细胞血红蛋白浓度","316--354g/L"
"CRP","0--10mg/L"
"肌酐","41--81umol/L"
"白蛋白","40--55g/L"
"碱性磷酸酶","50--135U/L"
"丙氨酸氨基转移酶","7--40U/L"
"天冬氨酸氨基转移酶","13--35U/L"
"直接胆红素","0--4umol/L"
"γ-谷氨酰转肽酶","7--45U/L"
"葡萄糖","3.9--6.1mmol/L"
"钾","3.5--5.3mmol/L"
"乳酸脱氢酶","120--250U/L"
"钠","137--147mmol/L"
"前白蛋白","180--350mg/L"
"视黄醇结合蛋白","25--70mg/L"
"总胆汁酸","0--13μmol/L"
"总胆红素","0--23umol/L"
"甘油三酯","<1.7mmol/L"
"总蛋白","65--85g/L"
"尿酸","155--357umol/L"
"尿素","3.1--8.8mmol/L"
"线粒体-AST","0--15U/L"
"谷氨酸脱氢酶","0--5U/L"
"白/球比","1.2--2.4"
"球蛋白","20--40g/L"
"氯","99--110mmol/L"
"总胆固醇","合适水平<5.2mmol/L;边缘升高5.2-6.2mmol/L;升高≥6.2mmol/L"
"AST/ALT比值","0.8--1.5"
"间接胆红素","5--12umol/L"
"估算肾小球滤过率(CKD-EPI)","0"
"总T淋巴细胞","52.11--81.55%"
"辅助/诱导T细胞","22.20--50.25%"
"抑制/杀伤T细胞","14.19--43.41%"
"总B淋巴细胞","5.05--20.45%"
"自然杀伤细胞","6.85--36.98%"
"NKT淋巴细胞","1.87--16.05%"
"双阳性T细胞","0.07--1.35%"
"双阴性T细胞","1.24--17.09%"
"CD29+辅助T细胞","12.66--37.21%"
"CD29+杀伤T细胞","6.86--30.74%"
"辅助T功能亚群","25.37--50.48%"
"杀伤T功能亚群","7.68--25.76%"
"T细胞活化亚群","4.91--20.65%"
"PD1+辅助T细胞","1.80--6.52%"
"PD1+杀伤T细胞","1.04--9.96%"
"早期活化T细胞","1.07--8.87%"
"晚期活化T细胞","2.60--14.86%"
"调节性T淋巴细胞","2.17--7.94%"
"初始辅助T细胞","16.14--63.22%"
"中央记忆辅助T细胞","13.30--44.37%"
"效应记忆辅助T细胞","14.90--49.67%"
"效应记忆终末分化辅助T细胞","1.16--16.51%"
"初始杀伤T细胞","4.29--57.51%"
"效应记忆终末分化杀伤T细胞","13.17--59.92%"
"效应记忆杀伤T细胞","16.80--52.61%"
"中央记忆杀伤T细胞","1.51--19.17%"
