"model","outcome","method","n","term","beta","SE","estimate","CI_low","CI_high","p","CI_method"
"adhesion_unadjusted","brainstem_adhesion","firth",38,"(Intercept)",-2.12026353619299,0.864097317083435,0.120000000000852,0.0130721980096465,0.495499373856163,0.00167619085141257,"penalized_profile_likelihood"
"adhesion_unadjusted","brainstem_adhesion","firth",38,"SubtypeC2",0.685179010903672,1.11440668904624,1.9841269841129,0.227001862599402,24.2791488236721,0.532426155485574,"penalized_profile_likelihood"
"adhesion_unadjusted","brainstem_adhesion","firth",38,"SubtypeC3",2.26336437983367,1.01678102879404,9.61538461531638,1.58915600471288,106.701030980516,0.0121140267575059,"penalized_profile_likelihood"
"texture_unadjusted","texture_soft_medium_hard","ordinal",38,"SubtypeC2",2.44377031405446,0.914385424854654,11.5163793583112,2.11695593303956,80.7176048498286,0.00752699055792185,"profile_likelihood"
"texture_unadjusted","texture_soft_medium_hard","ordinal",38,"SubtypeC3",-0.284509668857332,0.819719974697013,0.752383080744157,0.142977643195506,3.77295126796322,0.728530063564968,"profile_likelihood"
"adhesion_size_adjusted","brainstem_adhesion","firth",38,"(Intercept)",-5.25400482009722,1.87852445280388,0.00522654505729822,4.38982990236515e-05,0.143652092422519,0.000719961979625205,"penalized_profile_likelihood"
"adhesion_size_adjusted","brainstem_adhesion","firth",38,"SubtypeC2",0.674606820437701,1.14684543744649,1.96326091013422,0.194687430611682,26.275954093905,0.561462313197648,"penalized_profile_likelihood"
"adhesion_size_adjusted","brainstem_adhesion","firth",38,"SubtypeC3",2.52286576738702,1.07707735549575,12.4642652150371,1.79063653747964,164.122920126159,0.00903256933281782,"penalized_profile_likelihood"
"adhesion_size_adjusted","brainstem_adhesion","firth",38,"size_cm",1.11547250838673,0.543220177250425,3.05100946620655,1.12048410313955,11.7508206909599,0.0274301828712636,"penalized_profile_likelihood"
"texture_size_adjusted","texture_soft_medium_hard","ordinal",38,"SubtypeC2",2.48611904204119,0.925357253549935,12.0145575299734,2.1739184765587,86.677837858394,0.00721706719594023,"profile_likelihood"
"texture_size_adjusted","texture_soft_medium_hard","ordinal",38,"SubtypeC3",-0.272572454047647,0.821335366232514,0.761418259341749,0.144332106539913,3.832340244168,0.739991206649196,"profile_likelihood"
"texture_size_adjusted","texture_soft_medium_hard","ordinal",38,"size_cm",-0.254243334117249,0.415604694642876,0.77550307272964,0.341974783472979,1.79123488545014,0.540707693681316,"profile_likelihood"
"adhesion_size_age_sensitivity","brainstem_adhesion","firth",38,"(Intercept)",-6.96207547919955,2.48453388867077,0.000947128787099371,8.2560069963746e-07,0.0769561084684434,0.000934765034813378,"penalized_profile_likelihood"
"adhesion_size_age_sensitivity","brainstem_adhesion","firth",38,"SubtypeC2",0.297568043093006,1.21986851604175,1.34657999770363,0.074942684615943,19.813669830432,0.818938237752276,"penalized_profile_likelihood"
"adhesion_size_age_sensitivity","brainstem_adhesion","firth",38,"SubtypeC3",1.84286974808632,1.08113657122623,6.31463369189708,0.827032413427588,84.5931665669173,0.0770101942585647,"penalized_profile_likelihood"
"adhesion_size_age_sensitivity","brainstem_adhesion","firth",38,"size_cm",1.04569037641734,0.534812801438467,2.84536221670328,1.06360422711121,12.0106575739384,0.036109406566144,"penalized_profile_likelihood"
"adhesion_size_age_sensitivity","brainstem_adhesion","firth",38,"Age",0.0450659688242895,0.0344103651798788,1.04609686741296,0.978115071036133,1.14332094020514,0.193485590998565,"penalized_profile_likelihood"
"texture_size_age_sensitivity","texture_soft_medium_hard","ordinal",38,"SubtypeC2",2.52556737310789,0.933800417517353,12.4979842725391,2.23056148056525,91.8586880882571,0.00683843098037182,"profile_likelihood"
"texture_size_age_sensitivity","texture_soft_medium_hard","ordinal",38,"SubtypeC3",-0.397349944536236,0.879405135476307,0.672098787176468,0.113457753278271,3.76133651022956,0.651384637807961,"profile_likelihood"
"texture_size_age_sensitivity","texture_soft_medium_hard","ordinal",38,"size_cm",-0.259725321125821,0.418286510144969,0.771263406475089,0.338408882066734,1.79461793625374,0.534647760328208,"profile_likelihood"
"texture_size_age_sensitivity","texture_soft_medium_hard","ordinal",38,"Age",0.0119228936359048,0.0296493621192452,1.01199425466019,0.955497936561531,1.07560473767887,0.687588463345537,"profile_likelihood"
"NK_age_adjusted","NK_recorded_laboratory_measure","linear",38,"(Intercept)",9.58509916855403,2.9074363343926,9.58509916855403,3.67647764179383,15.4937206953142,0.00229607995892239,"t_interval"
"NK_age_adjusted","NK_recorded_laboratory_measure","linear",38,"SubtypeC2",-1.78877129453252,1.78834416672879,-1.78877129453252,-5.42312390813748,1.84558131907244,0.324260818760611,"t_interval"
"NK_age_adjusted","NK_recorded_laboratory_measure","linear",38,"SubtypeC3",4.74493545950282,1.89702740988054,4.74493545950282,0.889711921747877,8.60015899725777,0.0173549523971719,"t_interval"
"NK_age_adjusted","NK_recorded_laboratory_measure","linear",38,"Age",0.0920238448848654,0.0594969695709627,0.0920238448848654,-0.0288885448467669,0.212936234616498,0.131194594818534,"t_interval"
"NK_age_size_binary_legacy","NK_recorded_laboratory_measure","linear",38,"(Intercept)",7.00507168323369,2.50186541484283,7.00507168323369,1.91498822457652,12.0951551418909,0.00847636164991499,"t_interval"
"NK_age_size_binary_legacy","NK_recorded_laboratory_measure","linear",38,"SubtypeC2",-1.6493843744139,1.48776438161275,-1.6493843744139,-4.67626376780531,1.3774950189775,0.275603240764756,"t_interval"
"NK_age_size_binary_legacy","NK_recorded_laboratory_measure","linear",38,"SubtypeC3",3.25141879558715,1.62092341927881,3.25141879558715,-0.0463746969294645,6.54921228810377,0.0531212037602805,"t_interval"
"NK_age_size_binary_legacy","NK_recorded_laboratory_measure","linear",38,"Age",0.0711105011985293,0.0497562806824801,0.0711105011985293,-0.0301194129941594,0.172340415391218,0.162352181823947,"t_interval"
"NK_age_size_binary_legacy","NK_recorded_laboratory_measure","linear",38,"size_large",5.69569124110095,1.41716887317018,5.69569124110095,2.81243948956718,8.57894299263472,0.000318722652481011,"t_interval"
"NK_age_size_continuous","NK_recorded_laboratory_measure","linear",38,"(Intercept)",4.60292610180567,3.30268136389127,4.60292610180567,-2.11642965563198,11.3222818592433,0.172725724139688,"t_interval"
"NK_age_size_continuous","NK_recorded_laboratory_measure","linear",38,"SubtypeC2",-1.79141794055075,1.65394787310229,-1.79141794055075,-5.15640018956115,1.57356430845965,0.286607582450697,"t_interval"
"NK_age_size_continuous","NK_recorded_laboratory_measure","linear",38,"SubtypeC3",4.83414633014436,1.7547990818652,4.83414633014436,1.26398075413955,8.40431190614918,0.0094818316393577,"t_interval"
"NK_age_size_continuous","NK_recorded_laboratory_measure","linear",38,"Age",0.0808730585228437,0.0551928158668485,0.0808730585228437,-0.0314175696675641,0.193163686713251,0.152307543768092,"t_interval"
"NK_age_size_continuous","NK_recorded_laboratory_measure","linear",38,"size_cm",2.11845095315152,0.815389289256901,2.11845095315152,0.459528970782016,3.77737293552103,0.0139022032677296,"t_interval"
