"SampleID","original_Subtype","k2","k3","k4","k5","k6"
"P1","C1",1,1,1,1,1
"P10","C1",1,1,1,1,1
"P11","C2",2,2,2,2,2
"P12","C2",2,2,2,2,3
"P13","C2",2,2,2,2,2
"P14","C1",1,1,1,1,1
"P15","C1",1,1,1,1,1
"P16","C1",1,1,1,1,1
"P17","C1",1,1,3,3,4
"P18","C3",2,3,4,4,5
"P19","C2",2,2,2,2,3
"P2","C2",2,2,2,2,2
"P20","C2",1,2,3,3,4
"P21","C3",2,3,4,4,5
"P22","C3",2,3,4,4,5
"P23","C3",2,3,4,4,5
"P24","C1",1,1,3,3,4
"P25","C3",2,3,4,4,5
"P26","C2",1,2,3,5,6
"P27","C2",1,2,3,5,6
"P28","C2",1,2,3,3,4
"P3","C1",1,1,1,1,1
"P30","C3",2,3,4,4,5
"P32","C3",2,3,4,4,5
"P34","C3",2,3,4,4,5
"P35","C2",2,2,2,2,2
"P36","C1",1,1,1,1,1
"P37","C1",1,1,1,1,1
"P38","C2",2,2,2,2,2
"P39","C3",2,3,4,4,5
"P4","C3",2,3,4,4,5
"P40","C3",2,3,4,4,5
"P41","C3",2,3,4,4,5
"P5","C3",2,3,4,4,5
"P6","C1",1,1,1,1,1
"P7","C2",1,2,3,3,4
"S5","C1",1,1,1,1,1
"S8","C1",1,1,3,3,4
