"NGenes","Correlation","Direction","PValue","FDR","GO_ID","description"
17,0.0383015643694155,"Up",0.000214879821875529,0.652886119038435,"GO:0007042","lysosomal lumen acidification"
59,0.00113312189235629,"Up",0.000595776319573956,0.652886119038435,"GO:0098869","cellular oxidant detoxification"
24,0.0523995262347687,"Up",0.000600807463008924,0.652886119038435,"GO:0007035","vacuolar acidification"
19,0.0434409651006755,"Up",0.000714861879698526,0.652886119038435,"GO:0035751","regulation of lysosomal lumen pH"
67,0.00981561631393269,"Up",0.000862009663372637,0.652886119038435,"GO:1990748","cellular detoxification"
72,0.0127184902358409,"Up",0.00115262225440021,0.717162480164556,"GO:0097237","cellular response to toxic substance"
78,0.00776590852694031,"Up",0.00132562380806757,0.717162480164556,"GO:0098754","detoxification"
29,0.0232910161182202,"Up",0.00239157027062876,0.999769115486285,"GO:0006826","iron ion transport"
50,0.0154340991643201,"Up",0.00325869061419696,0.999769115486285,"GO:0055072","iron ion homeostasis"
36,0.0157921999971916,"Up",0.00387203037715063,0.999769115486285,"GO:0006879","cellular iron ion homeostasis"
16,0.0868444595423885,"Up",0.00459231340690506,0.999769115486285,"GO:0046466","membrane lipid catabolic process"
24,-0.0168142131364097,"Up",0.00488814647682197,0.999769115486285,"GO:0042743","hydrogen peroxide metabolic process"
21,-0.00117775292102803,"Up",0.00631450124186988,0.999769115486285,"GO:0010874","regulation of cholesterol efflux"
28,0.0411802532434313,"Up",0.00665174872897416,0.999769115486285,"GO:0033344","cholesterol efflux"
76,0.014969878082146,"Up",0.00840173136161006,0.999769115486285,"GO:0055076","transition metal ion homeostasis"
22,0.0303729328534278,"Down",0.00966662452815682,0.999769115486285,"GO:0043552","positive regulation of phosphatidylinositol 3-kinase activity"
23,0.122260921408693,"Up",0.0105931806880339,0.999769115486285,"GO:0002495","antigen processing and presentation of peptide antigen via MHC class II"
17,0.00932212855347447,"Down",0.010749629362013,0.999769115486285,"GO:0044331","cell-cell adhesion mediated by cadherin"
32,0.0652873364281049,"Up",0.0112696884138759,0.999769115486285,"GO:0051452","intracellular pH reduction"
59,0.0125136160246324,"Up",0.0123367066436266,0.999769115486285,"GO:0046916","cellular transition metal ion homeostasis"
23,0.0195427163065599,"Up",0.0127193176899046,0.999769115486285,"GO:0042269","regulation of natural killer cell mediated cytotoxicity"
23,0.0189012534801015,"Down",0.0163399071157018,0.999769115486285,"GO:0090218","positive regulation of lipid kinase activity"
30,0.0109539379130631,"Up",0.0165973194482841,0.999769115486285,"GO:0032371","regulation of sterol transport"
30,0.0109539379130631,"Up",0.0165973194482841,0.999769115486285,"GO:0032374","regulation of cholesterol transport"
16,0.0073247763089279,"Down",0.017463618277274,0.999769115486285,"GO:0002043","blood vessel endothelial cell proliferation involved in sprouting angiogenesis"
35,0.0187384981744029,"Down",0.0176095836659786,0.999769115486285,"GO:0061028","establishment of endothelial barrier"
60,0.0783052103419708,"Up",0.0186889503212985,0.999769115486285,"GO:0007040","lysosome organization"
60,0.0783052103419708,"Up",0.0186889503212985,0.999769115486285,"GO:0080171","lytic vacuole organization"
16,0.0424731196873718,"Up",0.0201123844000678,0.999769115486285,"GO:1902410","mitotic cytokinetic process"
21,0.147852185571331,"Up",0.0214720671189981,0.999769115486285,"GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II"
34,0.0246367157998885,"Down",0.022592050917718,0.999769115486285,"GO:0007631","feeding behavior"
18,-0.00432320126699284,"Up",0.023067879887152,0.999769115486285,"GO:0030808","regulation of nucleotide biosynthetic process"
18,-0.00432320126699284,"Up",0.023067879887152,0.999769115486285,"GO:1900371","regulation of purine nucleotide biosynthetic process"
20,0.0933462645357562,"Up",0.0232342169130096,0.999769115486285,"GO:0042168","heme metabolic process"
37,0.0326905773903307,"Up",0.0240749141826345,0.999769115486285,"GO:0042267","natural killer cell mediated cytotoxicity"
16,0.0590618787217093,"Up",0.0244715497954806,0.999769115486285,"GO:0010875","positive regulation of cholesterol efflux"
22,0.0841688408157407,"Up",0.0251166134804023,0.999769115486285,"GO:0006778","porphyrin-containing compound metabolic process"
124,0.0138693683637838,"Up",0.0255755418755146,0.999769115486285,"GO:0009636","response to toxic substance"
22,-0.0039677408861195,"Down",0.0271789299717132,0.999769115486285,"GO:0061036","positive regulation of cartilage development"
15,-0.00811780744826458,"Down",0.0272421772411591,0.999769115486285,"GO:0048854","brain morphogenesis"
40,0.110813066009737,"Up",0.0284183951939787,0.999769115486285,"GO:0048002","antigen processing and presentation of peptide antigen"
68,0.0319969936045946,"Up",0.0285175944559854,0.999769115486285,"GO:0002698","negative regulation of immune effector process"
49,0.0760454918495319,"Up",0.0287260368746463,0.999769115486285,"GO:0000041","transition metal ion transport"
25,0.0129280790636977,"Up",0.0289055477085964,0.999769115486285,"GO:0002715","regulation of natural killer cell mediated immunity"
31,0.0654631915389294,"Up",0.0299449308964324,0.999769115486285,"GO:0010823","negative regulation of mitochondrion organization"
25,0.129789851162503,"Up",0.0301306092793705,0.999769115486285,"GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II"
