"NGenes","Correlation","Direction","PValue","FDR","GO_ID","description"
91,0.0041179050106219,"Up",0.000992946276155597,0.837750894814794,"GO:0044242","cellular lipid catabolic process"
16,-0.0121586501677909,"Up",0.00131374394432237,0.837750894814794,"GO:0046466","membrane lipid catabolic process"
24,0.0204739379941816,"Up",0.00154294077172414,0.837750894814794,"GO:0007035","vacuolar acidification"
71,-0.000505767108760205,"Up",0.00197650626746888,0.837750894814794,"GO:0097237","cellular response to toxic substance"
66,0.000640188472954858,"Up",0.00327772092704395,0.837750894814794,"GO:1990748","cellular detoxification"
17,0.0443748262156321,"Up",0.00334666701897338,0.837750894814794,"GO:0007042","lysosomal lumen acidification"
92,-0.00208961316312979,"Up",0.00388901423352177,0.837750894814794,"GO:0006520","cellular amino acid metabolic process"
90,0.0107469744372598,"Up",0.00402271309797323,0.837750894814794,"GO:0016054","organic acid catabolic process"
88,0.0133539150646206,"Up",0.00414578067586832,0.837750894814794,"GO:0046395","carboxylic acid catabolic process"
19,0.030775509775207,"Up",0.00417946074713854,0.837750894814794,"GO:0035751","regulation of lysosomal lumen pH"
49,-0.00915994867906521,"Up",0.00447701582774147,0.837750894814794,"GO:0072329","monocarboxylic acid catabolic process"
59,0.0168114538617662,"Up",0.00461534100244761,0.837750894814794,"GO:0007040","lysosome organization"
59,0.0168114538617662,"Up",0.00461534100244761,0.837750894814794,"GO:0080171","lytic vacuole organization"
18,-0.00525241319511681,"Down",0.00523264623019076,0.837750894814794,"GO:0043552","positive regulation of phosphatidylinositol 3-kinase activity"
82,0.00546576902932625,"Down",0.00797631197280965,0.837750894814794,"GO:0040029","epigenetic regulation of gene expression"
15,0.00356507478878024,"Up",0.00850953789567879,0.837750894814794,"GO:0006779","porphyrin-containing compound biosynthetic process"
15,0.00356507478878024,"Up",0.00850953789567879,0.837750894814794,"GO:0033014","tetrapyrrole biosynthetic process"
54,0.000899276045858134,"Down",0.00864459149887256,0.837750894814794,"GO:0070828","heterochromatin organization"
130,0.0111143030518633,"Up",0.00911788926517911,0.837750894814794,"GO:0016042","lipid catabolic process"
47,0.00979273290500845,"Up",0.00916416595719373,0.837750894814794,"GO:0006885","regulation of pH"
376,0.0047792816490092,"Up",0.00938628732251163,0.837750894814794,"GO:0043436","oxoacid metabolic process"
31,-0.00635247471151063,"Up",0.00943871198711143,0.837750894814794,"GO:0010823","negative regulation of mitochondrion organization"
44,0.00478163092832895,"Down",0.00955385516288665,0.837750894814794,"GO:1903036","positive regulation of response to wounding"
32,0.013913334898755,"Up",0.0097234846769442,0.837750894814794,"GO:0051452","intracellular pH reduction"
173,0.016820223598106,"Down",0.00991460669903274,0.837750894814794,"GO:0006338","chromatin remodeling"
70,0.0105292562716693,"Down",0.00992233188454316,0.837750894814794,"GO:0051028","mRNA transport"
365,0.00520038356864831,"Up",0.00995002487312495,0.837750894814794,"GO:0019752","carboxylic acid metabolic process"
77,0.00330442699712904,"Up",0.0103973928973408,0.837750894814794,"GO:0098754","detoxification"
47,0.00134913972291609,"Down",0.0107727194535395,0.837750894814794,"GO:0001885","endothelial cell development"
377,0.00513241654149588,"Up",0.0112043020343389,0.837750894814794,"GO:0006082","organic acid metabolic process"
30,-0.0032844186515953,"Down",0.011440825546509,0.837750894814794,"GO:0032786","positive regulation of DNA-templated transcription, elongation"
44,-0.0098221165475773,"Up",0.0118972981748708,0.837750894814794,"GO:0009062","fatty acid catabolic process"
288,0.00545089213431432,"Down",0.0121869439939933,0.837750894814794,"GO:0044770","cell cycle phase transition"
58,0.000174101907652315,"Up",0.0122500153443588,0.837750894814794,"GO:0098869","cellular oxidant detoxification"
47,-0.0045469364798318,"Down",0.0122900669560759,0.837750894814794,"GO:0031507","heterochromatin formation"
250,0.00636931912907077,"Down",0.0126861645415238,0.837750894814794,"GO:0044772","mitotic cell cycle phase transition"
47,0.0148817685469841,"Down",0.0131904795822323,0.837750894814794,"GO:0045995","regulation of embryonic development"
19,-0.00597252624148873,"Down",0.0132511565124895,0.837750894814794,"GO:0090218","positive regulation of lipid kinase activity"
96,0.00310035641781581,"Down",0.0134917666248072,0.837750894814794,"GO:0042770","signal transduction in response to DNA damage"
22,0.0106970828138724,"Up",0.0135294905689388,0.837750894814794,"GO:0006778","porphyrin-containing compound metabolic process"
20,0.0147406677169604,"Up",0.0138607899140898,0.837750894814794,"GO:0042168","heme metabolic process"
23,-0.00309754257972859,"Down",0.0139690032826104,0.837750894814794,"GO:0051642","centrosome localization"
17,-0.0203087050849105,"Down",0.0140639941260866,0.837750894814794,"GO:0044331","cell-cell adhesion mediated by cadherin"
41,0.0128926022558039,"Up",0.0141764034823061,0.837750894814794,"GO:0051453","regulation of intracellular pH"
35,0.0132871289758182,"Down",0.0141866755170929,0.837750894814794,"GO:0061028","establishment of endothelial barrier"
132,0.0109692051857157,"Up",0.0142831190191201,0.837750894814794,"GO:0007033","vacuole organization"
42,0.00380347019299228,"Up",0.0143702259243033,0.837750894814794,"GO:0006081","cellular aldehyde metabolic process"
28,0.00930432550742883,"Up",0.0143849843300639,0.837750894814794,"GO:0033013","tetrapyrrole metabolic process"
89,0.00056302633234348,"Up",0.0146906666773361,0.837750894814794,"GO:1901136","carbohydrate derivative catabolic process"
66,0.00357064387130505,"Down",0.0147470604855393,0.837750894814794,"GO:0007612","learning"
52,0.00286857008309532,"Up",0.0152017687187587,0.837750894814794,"GO:0006399","tRNA metabolic process"
302,0.0164226877463159,"Down",0.0152192772756474,0.837750894814794,"GO:0006325","chromatin organization"
129,0.00299006512448963,"Down",0.0153552929383257,0.837750894814794,"GO:0006260","DNA replication"
153,0.00872186999313625,"Down",0.0153771365340309,0.837750894814794,"GO:0044843","cell cycle G1/S phase transition"
141,0.0107418888319788,"Down",0.0160827834131548,0.837750894814794,"GO:0000082","G1/S transition of mitotic cell cycle"
273,0.00301017298373737,"Down",0.0165792371506915,0.837750894814794,"GO:0007346","regulation of mitotic cell cycle"
435,0.00415087929795178,"Down",0.0167698668168234,0.837750894814794,"GO:1903047","mitotic cell cycle process"
44,0.0135406864667513,"Up",0.0172374200665731,0.837750894814794,"GO:0030641","regulation of cellular pH"
75,0.00760215790425216,"Down",0.0174163784286251,0.837750894814794,"GO:0045446","endothelial cell differentiation"
99,0.00524383017296689,"Down",0.0182512098193688,0.837750894814794,"GO:0019827","stem cell population maintenance"
16,-0.0218552859995672,"Down",0.0187968086568436,0.837750894814794,"GO:2000279","negative regulation of DNA biosynthetic process"
49,-0.00805638086834384,"Up",0.0195793300553741,0.837750894814794,"GO:0019395","fatty acid oxidation"
15,0.000167935422862975,"Down",0.0199735895763265,0.837750894814794,"GO:0034694","response to prostaglandin"
24,-0.00773133978753005,"Down",0.0200274686954712,0.837750894814794,"GO:0061842","microtubule organizing center localization"
151,0.00519164826225589,"Up",0.0204479320321081,0.837750894814794,"GO:0044282","small molecule catabolic process"
52,0.000371335451305869,"Down",0.0205820911835201,0.837750894814794,"GO:0045814","negative regulation of gene expression, epigenetic"
89,0.00576803412761055,"Down",0.0206591935702705,0.837750894814794,"GO:0048167","regulation of synaptic plasticity"
33,0.00772563074629518,"Down",0.0214575688451148,0.837750894814794,"GO:0090303","positive regulation of wound healing"
164,0.000896427776950519,"Down",0.0214900076858925,0.837750894814794,"GO:0051348","negative regulation of transferase activity"
54,-0.00662714397581114,"Up",0.0218257572597213,0.837750894814794,"GO:0034440","lipid oxidation"
102,0.00472757037556229,"Down",0.0219224563922129,0.837750894814794,"GO:0098727","maintenance of cell number"
31,0.00429271395682672,"Up",0.0219824574089928,0.837750894814794,"GO:0042440","pigment metabolic process"
91,0.0112252719149795,"Down",0.0220471757319868,0.837750894814794,"GO:0050657","nucleic acid transport"
91,0.0112252719149795,"Down",0.0220471757319868,0.837750894814794,"GO:0050658","RNA transport"
97,0.0136320015147308,"Down",0.0223668897024473,0.837750894814794,"GO:1903034","regulation of response to wounding"
173,0.00159231512512689,"Down",0.0227646740135897,0.837750894814794,"GO:0010720","positive regulation of cell development"
193,0.00855048644358354,"Down",0.0228192337215405,0.837750894814794,"GO:0006913","nucleocytoplasmic transport"
193,0.00855048644358354,"Down",0.0228192337215405,0.837750894814794,"GO:0051169","nuclear transport"
226,0.0032231096011332,"Down",0.0233946499807684,0.837750894814794,"GO:1901987","regulation of cell cycle phase transition"
47,0.0432291584677315,"Up",0.023736818997376,0.837750894814794,"GO:0000041","transition metal ion transport"
33,0.0288511018121286,"Down",0.0241024778803601,0.837750894814794,"GO:0070988","demethylation"
94,0.0105039637332055,"Down",0.0246432939793972,0.837750894814794,"GO:0051236","establishment of RNA localization"
23,0.0120707407425033,"Up",0.0247398009692868,0.837750894814794,"GO:0046148","pigment biosynthetic process"
37,-0.00913593837505583,"Up",0.0252920998794604,0.837750894814794,"GO:0006635","fatty acid beta-oxidation"
46,-0.00928102468142245,"Down",0.0257984340032854,0.837750894814794,"GO:0072678","T cell migration"
49,0.00935904121051263,"Up",0.0259045830448433,0.837750894814794,"GO:0055072","iron ion homeostasis"
55,0.0132417390408687,"Up",0.0259164319580583,0.837750894814794,"GO:0030004","cellular monovalent inorganic cation homeostasis"
135,0.000155202563426773,"Up",0.0263137131742881,0.837750894814794,"GO:0016053","organic acid biosynthetic process"
193,0.00144969766457995,"Down",0.0263387682916382,0.837750894814794,"GO:0022604","regulation of cell morphogenesis"
23,-0.0101942243494938,"Up",0.0265828000920443,0.837750894814794,"GO:0042743","hydrogen peroxide metabolic process"
16,0.100393609962305,"Down",0.0265835924985123,0.837750894814794,"GO:0007549","dosage compensation"
16,0.100393609962305,"Down",0.0265835924985123,0.837750894814794,"GO:0009048","dosage compensation by inactivation of X chromosome"
117,0.00184154992486354,"Up",0.0267486096139867,0.837750894814794,"GO:0009636","response to toxic substance"
21,-0.0121041229916345,"Up",0.0268533150646865,0.837750894814794,"GO:0009395","phospholipid catabolic process"
35,0.0322272744439258,"Down",0.0269354923896996,0.837750894814794,"GO:0006406","mRNA export from nucleus"
15,0.00752602142812646,"Down",0.0273514322126205,0.837750894814794,"GO:0046174","polyol catabolic process"
28,0.0343594359228972,"Up",0.027463636222371,0.837750894814794,"GO:0006826","iron ion transport"
191,0.00387824839960102,"Down",0.0274992219236263,0.837750894814794,"GO:1901990","regulation of mitotic cell cycle phase transition"
119,0.00255477230285883,"Down",0.0275050484120902,0.837750894814794,"GO:1902806","regulation of cell cycle G1/S phase transition"
33,0.0325082981539566,"Down",0.0275257956978598,0.837750894814794,"GO:0007631","feeding behavior"
16,0.00962237661015766,"Up",0.0275523863683708,0.837750894814794,"GO:0009081","branched-chain amino acid metabolic process"
76,0.00375909949587408,"Down",0.0277128189516974,0.837750894814794,"GO:0046822","regulation of nucleocytoplasmic transport"
45,-0.00760658454066603,"Up",0.0277843579270177,0.837750894814794,"GO:1903509","liposaccharide metabolic process"
108,0.00342583323615865,"Down",0.0278248301782823,0.837750894814794,"GO:2000045","regulation of G1/S transition of mitotic cell cycle"
22,-0.0117128391030759,"Down",0.0279349947903459,0.837750894814794,"GO:0001825","blastocyst formation"
225,0.00209218697122096,"Up",0.0280994054197739,0.837750894814794,"GO:1901615","organic hydroxy compound metabolic process"
41,0.0190985412859292,"Up",0.0281688093657185,0.837750894814794,"GO:0009063","cellular amino acid catabolic process"
134,5.96615558003226e-05,"Up",0.0282407304688652,0.837750894814794,"GO:0046394","carboxylic acid biosynthetic process"
47,0.00965032001715606,"Down",0.0291574608910833,0.837750894814794,"GO:0030330","DNA damage response, signal transduction by p53 class mediator"
40,-0.0083794574452233,"Up",0.0292381205208802,0.837750894814794,"GO:0006720","isoprenoid metabolic process"
62,0.00224021960962349,"Down",0.0292438863125772,0.837750894814794,"GO:0006275","regulation of DNA replication"
20,0.054335450717009,"Down",0.029564395687815,0.837750894814794,"GO:0045742","positive regulation of epidermal growth factor receptor signaling pathway"
28,9.20189704255406e-05,"Up",0.0298740753242425,0.837750894814794,"GO:0016101","diterpenoid metabolic process"
47,-0.00718951880265739,"Up",0.030858126759781,0.837750894814794,"GO:0051881","regulation of mitochondrial membrane potential"
60,-0.00402322931892214,"Up",0.0310409750103439,0.837750894814794,"GO:0042157","lipoprotein metabolic process"
19,-0.00874699991316856,"Down",0.0313089162440927,0.837750894814794,"GO:2000737","negative regulation of stem cell differentiation"
75,-0.00109694358288307,"Down",0.031418352359385,0.837750894814794,"GO:0048736","appendage development"
75,-0.00109694358288307,"Down",0.031418352359385,0.837750894814794,"GO:0060173","limb development"
35,0.0100431293405688,"Up",0.0315780334555173,0.837750894814794,"GO:0006879","cellular iron ion homeostasis"
22,0.0382025542023912,"Down",0.0316822010832435,0.837750894814794,"GO:1901186","positive regulation of ERBB signaling pathway"
30,0.000791330757071549,"Down",0.0318597929907901,0.837750894814794,"GO:0002448","mast cell mediated immunity"
59,0.00909128701469146,"Down",0.0321082429962503,0.837750894814794,"GO:0045445","myoblast differentiation"
77,0.0115237775779807,"Down",0.0321194176255799,0.837750894814794,"GO:0002244","hematopoietic progenitor cell differentiation"
74,0.00614567732662074,"Up",0.0321898616929089,0.837750894814794,"GO:0055076","transition metal ion homeostasis"
109,0.0171879937704577,"Down",0.0325872827897466,0.837750894814794,"GO:0017148","negative regulation of translation"
72,-0.000434961091744763,"Down",0.032655480468295,0.837750894814794,"GO:0007044","cell-substrate junction assembly"
78,0.0005594031733884,"Down",0.0326922019933455,0.837750894814794,"GO:0150115","cell-substrate junction organization"
17,-0.00830686816050705,"Up",0.033213044778459,0.837750894814794,"GO:0006026","aminoglycan catabolic process"
63,0.0121094404890227,"Down",0.0340585412212775,0.837750894814794,"GO:0008630","intrinsic apoptotic signaling pathway in response to DNA damage"
29,-0.00635402703780439,"Down",0.034428401166724,0.837750894814794,"GO:1902459","positive regulation of stem cell population maintenance"
