"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","description"
"GO:0000002",0.396061269146608,0.763142445428831,0.0972150808846466,0.373262832822105,1.04753277092082,15,"TYMP;PARP1;RRM1;SLC25A33;STOML2;SLC25A4","mitochondrial genome maintenance"
"GO:0000018",0.63448275862069,0.914054308131757,0.0739901439101341,0.216157902346846,0.903386108843589,63,"TERF2IP;KPNA2;UBE2B;TGFB1;CGAS;SLC15A4;PARP1;NDFIP1;EXOSC6;YEATS4;ACTB;TNFSF13;CLCF1;IL27RA;SUPT6H","regulation of DNA recombination"
"GO:0000041",0.13677130044843,0.452843708016122,0.179782316298324,0.315414572899806,1.24928022723373,49,"FLVCR2;SLC39A1;MCOLN1;SLC1A1;FKBP4;B2M;RAB11B;SLC39A7;TCN2;SLC25A37;TMEM163;PGRMC2;TRPC6;CLTC;ABCB7;ATOX1;SLC31A2;SLC39A6;TMEM165;FTL;SLC48A1","transition metal ion transport"
"GO:0000045",0.117073170731707,0.420312190255725,0.204294756516886,0.289411554745314,1.24441036861823,74,"WIPI2;ATG101;TCIRG1;SNX4;CTSD;PINK1;NSFL1C;RAB7A;MAP1LC3A;GABARAPL1;FEZ2;CHMP4B;RAB1A;ATG5;UBXN2B;LRSAM1;SNX30;PIP4K2A;WDR45;NUPR1;BECN1;WIPI1","autophagosome assembly"
"GO:0000070",0.284574468085106,0.648111941728963,0.132147260608774,0.227987110405088,1.06597253302878,120,"NUDC;NAA10;DCTN2;AKAP8L;VPS4A;NEK6;SMARCD3;PPP2R1A;SMARCB1;NDC80;BOD1;BUB3;CHMP4B;PLK1;ACTB;MAPRE1;CDT1;CHMP2B;ZWINT;BCL7B;NUP62;KIF4A;SMARCA2;KMT5A;BECN1;NAA50;BUB1;NSMCE2;PSMG2;CDC27;SMC1A;TPR;RAD21;SMARCE1;SMARCA5;PCID2;IK","mitotic sister chromatid segregation"
"GO:0000075",1,1,0.0538979025357319,0.132170658916987,0.598096478672444,93,"VPS4A;NOP53;TIPRL;GTSE1;NDC80;BUB3;PLK1;BABAM1;CDT1;NBN;BABAM2;ZWINT;PLK3;BUB1;PML;BRCC3;PSMG2;TPR;DDX39B;NAE1;CDC5L;PCID2;IK;RAD9A;SYF2","cell cycle checkpoint signaling"
"GO:0000077",0.869257950530035,1,0.0464154956843849,-0.200252491333002,-0.788095846622728,61,"ATM;CRADD;ATR;THOC1;STK33;MAPK14;TOPBP1;XPC;BRCA2;PRKDC;EIF2AK4;MSH2;ATF2;CLOCK;CEP63;TAOK3;NEK11;TAOK1;RNASEH2B;CCND1;PLK2;MDM2;RPS27L","DNA damage checkpoint signaling"
"GO:0000079",0.684859154929577,0.939089322902009,0.0572461135202884,-0.223003659891111,-0.873681282385741,59,"HEXIM1;CCNYL1;CCND2;PDGFB;KAT2B;MNAT1;LATS1;CCNG2;TNFAIP3;CCNT2","regulation of cyclin-dependent protein serine/threonine kinase activity"
"GO:0000082",0.970858895705521,1,0.0347904098478036,-0.162592962842156,-0.744848426188736,143,"SLFN11;RBL2;ATM;CUL4B;CCND2;DLG1;ID4;CRADD;ADAMTS1;CCL2;CRLF3;NACC2;BACH1;EZH2;MNAT1;LATS1;ARID2;KIF14;INO80;PRKDC;CDK14;MEPCE;SPDYA;APPL2;ARID1A;BRD7;PRMT2;PLCB1;ACVR1;MYC;KMT2E;PPP3CA;KANK2;BCAT1;RB1;CACNB4;CTDSPL;APC;CDKN2B;EIF4E","G1/S transition of mitotic cell cycle"
"GO:0000086",0.978102189781022,1,0.0557104226766671,0.163939100359944,0.712452841356329,78,"VPS4A;NOP53;PPME1;AVEN;BRD4;RRM1;PLK1;BABAM1;PPM1D;NBN;BABAM2;CDK4;PLK3;BRCC3;CCDC57;NAE1;RAD21;WEE1;SYF2;CALM3;ARPP19;KHDRBS1;MECP2;CCNG1;CALM1","G2/M transition of mitotic cell cycle"
