"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","description"
"GO:0000002",0.3812375249501,0.673171416537976,0.0940503465727813,0.363372437762486,1.05746357597269,15,"TYMP;STOML2;SLC25A4;PARP1;RRM1;SLC25A33","mitochondrial genome maintenance"
"GO:0000018",0.958424507658643,0.993891856974859,0.0517405459873163,0.171106935903407,0.707559161244302,62,"RPA2;TERF2IP;IL27RA;TGFB1;NDFIP1;UBE2B;PARP1;CGAS;TNFSF13;YEATS4;EXOSC6;KPNA2;MAD2L2","regulation of DNA recombination"
"GO:0000041",0.46031746031746,0.738333141831873,0.0905428948469474,0.254769057721845,0.99471414534038,48,"SLC39A1;FLVCR2;TRPC6;MCOLN1;B2M;ATOX1;SLC39A7;TCN2","transition metal ion transport"
"GO:0000045",0.222737819025522,0.515813966352969,0.140406238523342,0.263017748018788,1.12955689678613,74,"ATG101;TCIRG1;WIPI2;SNX4;MAP1LC3A;CTSD;GABARAPL1;WDR45;PIP4K2A;GABARAP;UBXN2B;RAB1A;PINK1;ATG5;BECN1;NSFL1C;FEZ2;RAB7A;EMC6;LRSAM1;WIPI1","autophagosome assembly"
"GO:0000070",0.693266832917706,0.893517078384179,0.0736212741014394,0.195477445892247,0.900621163650203,118,"NUDC;AKAP8L;DCTN2;NAA10;SMARCD3;RAN;SMC1A;VPS4A;CHMP2A;NEK6;ANAPC11;PSMG2;BOD1;NDC80;BECN1;KMT5A;SMARCA2;SMARCB1;MAD2L2;PLK1;CDT1;BUB3;MAPRE1;SMARCA4;PCID2;NSMCE2;TPR;SMC3;PRC1;PPP2R1A;BCL7C;NUP62;BUB1;CHMP2B;CDC27;ZWINT;RAB11A;ACTB;TTN;CHMP4B;BCL7B;IK;CHMP4A;CHMP5;MAD2L1;SMARCE1","mitotic sister chromatid segregation"
"GO:0000075",0.996478873239437,1,0.0400031517498194,-0.139719859238031,-0.592117587122248,92,"PLK2;ATM;CDC20;PROX1;THOC1;NABP1;TEX14;CRADD;CRY1;RPS27L;TOPBP1;ATF2;MAPK14;XPC;MDM2;CCND1;CDKN1A;PRKDC;BUB1B","cell cycle checkpoint signaling"
"GO:0000077",0.975970425138632,0.999416034417472,0.0431901998334182,-0.165045933071779,-0.641094825170815,60,"PLK2;ATM;THOC1;CRADD;CRY1;RPS27L;TOPBP1;ATF2;MAPK14;XPC;MDM2;CCND1;CDKN1A;PRKDC;ATR;TAOK3;TAOK1;BRCA2;MSH2;CUL4A;UIMC1;EIF2AK4;CDK1;CEP63;CDKN1B","DNA damage checkpoint signaling"
"GO:0000079",0.0115804313137349,0.10075367884788,0.380730400722792,-0.404271399890402,-1.57786997339478,59,"HEXIM1;CCNG2;CCNYL1;GADD45A;CCND2;KAT2B;PDGFB;PROX1;CDKN2B;CDKN2A","regulation of cyclin-dependent protein serine/threonine kinase activity"
"GO:0000082",0.110378912685338,0.351975515537124,0.170932335370056,-0.264067630717239,-1.20948979520119,142,"PLK2;MEPCE;EZH2;SLFN11;CCND2;RBL2;CUL4B;ATM;ID4;KIF14;ADAMTS1;CCL2;CDKN2B;CDKN2A;DLG1;CDK14;KLF4;MYC;CRLF3;KMT2E;CRADD;RPS27L;INHBA;ARID2;NACC2;MNAT1;KANK2;BACH1;PLCB1;LATS1;CACNB4;EIF4E;APPL2;INO80;MDM2;CCND1;CDKN1A;ARID1A","G1/S transition of mitotic cell cycle"
"GO:0000086",0.810526315789474,0.946241043751044,0.0492917662312669,-0.20013564632809,-0.825497029006465,77,"HSPA2;ATM;CDC25B;KIF14;RRM2B;CDK14;NABP1;FBXL17;TOPBP1;BACH1;FBXL3;PLCB1;LATS1;APP;AURKA;PBX1;CCND1;CDKN1A;RCC2;CIT;CCNY","G2/M transition of mitotic cell cycle"
