"gene","all15_adjusted_technique_logFC","all15_adjusted_technique_FDR","fresh11_logFC","fresh11_FDR","fresh_no_prior_treatment_logFC","fresh_no_prior_treatment_FDR"
"HES4",0.497855341620019,0.831586301123345,0.337093377889154,0.662968147963699,0.276985071150371,0.635630814036157
"ISG15",0.414484463068622,0.924498996804901,0.26268599295239,0.790067916621749,0.257087918638618,0.829309687795442
"AGRN",0.452544323003839,0.743641475921582,0.298380423691911,0.652754646020219,0.260044083668812,0.685511798317414
"TNFRSF18",0.750973748548457,0.620497879203569,0.562848129102982,0.539909812541728,0.565366897909066,0.454646209978998
"TNFRSF4",0.843003892707663,0.585154410769659,0.572875915891275,0.539909812541728,0.623383784366017,0.364381114006951
"SDF4",0.274878793691622,0.620497879203569,0.193904019062703,0.576859503928985,0.194204723471777,0.524568846667637
"MXRA8",-0.18342072028829,0.978731255112132,-0.131516459784158,0.943771660997727,-0.279479834089232,0.820813436109508
"AURKAIP1",0.238953281616771,0.946978282166981,0.197398237250571,0.610562468549926,0.275138232716143,0.457693902149344
"MRPL20",0.126843550677158,0.903608037062864,0.126367302945933,0.70238198276846,0.185269145705279,0.59257341004653
"ANKRD65",0.657493305941567,0.836203256481455,0.476236964856681,0.680554703992045,0.396588021989009,0.752667262709707
"VWA1",0.304157085593441,0.961059654169002,0.225789453873489,0.905296396015766,0.132796468325934,0.945651935947817
"SSU72",0.138401128907203,0.832510365260709,0.0973050843011684,0.763121519273086,0.163352291728199,0.57608720313013
"CDK11B",-0.108489011366557,0.882264046366445,-0.0767887418938422,0.776361663279111,-0.0808826949203555,0.801143625969714
"GNB1",-0.0707587892992704,0.937295590475388,-0.0385305859068282,0.891507633403955,-0.0464511120643997,0.883528995898572
"GABRD",-0.476974931865196,0.915615419264746,-0.383771977650243,0.826603556802908,-0.63460006880163,0.610364968373009
"FAAP20",0.228738119069629,0.915615419264746,0.152475212947421,0.736250818799569,0.207314040188688,0.669670035570073
"SKI",-0.174117802330846,0.8276928018909,-0.136849523133471,0.626375901485095,-0.143412081076214,0.628925208978826
"RER1",0.160377717370991,0.756024783939142,0.131047722119552,0.680554703992045,0.181321973764365,0.526483868522985
"TNFRSF14",0.210389000072893,0.756024783939142,0.202022132986284,0.567636892317067,0.252030133425219,0.478589739893132
"PRDM16-DT",0.368217676980969,0.947261053507097,0.235722383903129,0.903162098034093,0.0677127266691996,0.976553737496412
"PRDM16",-0.562978256018541,0.847164208899954,-0.352428156005072,0.790067916621749,-0.509863800083587,0.661047764554629
"MEGF6",-1.14660392195663,0.607226415643211,-0.779299634621988,0.539909812541728,-1.03931419311542,0.364381114006951
"KCNAB2",0.226054864132445,0.871146086444017,0.136449321572978,0.78785297839852,0.261701707938723,0.533803753509296
"RPL22",0.103925729679247,0.975727322813314,0.0177392692541726,0.963675564531743,0.00475847237444857,0.992577129869039
"ACOT7",0.247972195452173,0.903608037062864,0.124147646517147,0.833086038015381,0.118200446666415,0.869037585050217
"KLHL21",0.00250034524662188,0.998689477015887,-0.00794731858578512,0.991993697591546,-0.104436657396849,0.883528995898572
"CAMTA1",-0.135566627464046,0.85325053155458,-0.122230287710957,0.711331071049251,-0.197668248097398,0.562754315836961
