"sample","n","median_count","median_data","median_count_features","median_data_features","zero_data"
"SCH1",5074,6640.5,6640.5,2055.5,2055.5,0
"SCH13",13102,6748,6748,1893,1893,0
"SCH14",6271,12655,12655,2689,2689,0
"SCH18",7799,2367,2367,1430,1430,0
"SCH2",7082,8707,8707,2144,2144,0
"SCH20",9083,2438,2438,1314,1314,0
"SCH21",11608,2914,2914,1570.5,1570.5,0
"SCH22",10481,3039,3039,1612,1612,0
"SCH3",1986,8256.5,8256.5,2214,2214,0
"SCH4",14602,3846.5,3846.5,1399,1399,0
"SCH5",4169,5983,5983,1777,1777,0
"SCH6",7651,4767,4767,1677,1677,0
"SCH7",4256,8903.5,8903.5,2276,2276,0
"SCH8",5570,11084,11084,2482,2482,0
"SCH9",3994,3943.5,3943.5,1426,1426,0
